PLAY "Spielen"
FURNITURE_CONFESSIONAL_USAGETYPE1 "Einem Untergebenen werden seine lässlichen Sünden vergeben"
FURNITURE_CONFESSIONAL_USAGETYPE2 "Ein Untergebener ist erfahrener"
FURNITURE_CONFESSIONAL_USAGETYPE3 "Einem Untergebenen wird eine Todsünde vergeben"
FURNITURE_CONFESSIONAL_USAGETYPE "beichten"
FURNITURE_CORPSE_DISPLAY1_NAME "Groteske Leichenausstellung"
FURNITURE_COW_PEN_NAME "Kuhstall"
FURNITURE_CROPS_NAME "Weizen"
FURNITURE_CROPS_SECONDPERSON "Erntet das Feld."
FURNITURE_CROPS_THIRDPERSON "{1} erntet das Feld."
FURNITURE_CROPS_USAGETYPE "Weizen ernten"
FURNITURE_DEMON_SHRINE_NAME1 "Engelsschrein"
FURNITURE_DEMON_SHRINE_NAME "Dämonenschrein"
FURNITURE_DEMON_SHRINE_NAME_PLURAL "Dämonenschreine"
FURNITURE_DESTROY_WALLS_TRAP_NAME "Einsturzfalle"
FURNITURE_DISTILLERY_NAME "Brennerei"
FURNITURE_DISTILLERY_USAGETYPE "Brennerei benutzen"
FURNITURE_DUNGEON_WALL_NAME "Verstärkte Mauer"
FURNITURE_EYEBALL_NAME "Auge"
FURNITURE_FIRE_TRAP_NAME "Feuerfalle"
FURNITURE_FIRE_WALL_NAME "Feuer"
FURNITURE_FLOOR_BLIND_NAME "Boden der Blindheit"
FURNITURE_FLOOR_CARPET1_NAME "Teppich"
FURNITURE_FLOOR_INVI_NAME "Boden der Unsichtbarkeit"
FURNITURE_FLOOR_NAME1 "Gute Absichten"
FURNITURE_FLOOR_NAME "Boden"
FURNITURE_FLOOR_PEACE_NAME "Boden des Friedens"
FURNITURE_FLOOR_SPEED_NAME "Boden der Geschwindigkeit"
FURNITURE_FLOOR_STONE1_NAME "Steinboden"
FURNITURE_FLOOR_WOOD1_NAME "Holzboden"
FURNITURE_FLOWER1_NAME "Blume"
FURNITURE_FORGE_NAME1 "Magmaschmiede"
FURNITURE_FORGE_NAME "Schmiede"
FURNITURE_FORGE_QUENCHING_BUCKET_NAME "Abschreckeimer"
FURNITURE_FOUNTAIN_NAME "Brunnen"
FURNITURE_FOUNTAIN_SECONDPERSON "Du nimmst einen Schluck."
FURNITURE_FOUNTAIN_THIRDPERSON "{1} nimmt einen Schluck."
FURNITURE_FOUNTAIN_USAGETYPE "Aus dem Brunnen trinken"
FURNITURE_FURNACE_NAME "Ofen"
FURNITURE_GALLOWS_NAME "Galgen"
FURNITURE_GARGOYLE_TRAP_NAME "Gargoylenfalle"
FURNITURE_GRASS_NAME "Gras"
FURNITURE_GRAVE_NAME "Grab"
FURNITURE_GROUND_TORCH_NAME "Stehfackel"
FURNITURE_HAYPILE_NAME "Heuhaufen"
FURNITURE_HAYPILE_SECONDPERSON "Du isst etwas Heu."
FURNITURE_HAYPILE_THIRDPERSON "{1} isst etwas Heu."
FURNITURE_HAYPILE_USAGETYPE "Vom Heuhaufen essen"
FURNITURE_HEALING_TOTEM_NAME1 "Blutender Totem"
FURNITURE_HEALING_TOTEM_NAME "Heiltotem"
FURNITURE_HILL_NAME "Hügel"
FURNITURE_ICE_NAME "Eis"
FURNITURE_IMPALED_HEAD_NAME "Gepfählter Kopf"
FURNITURE_INACTIVE_PORTAL_NAME "Portal"
FURNITURE_INACTIVE_PORTAL_USAGETYPE "Portal benutzen"
FURNITURE_IRON_DOOR_NAME "Eisentür"
FURNITURE_IRON_GATE_NAME "Eisentor"
FURNITURE_JEWELLER_NAME1 "Magmajuwelier"
FURNITURE_JEWELLER_NAME2 "Dichtetisch"
FURNITURE_JEWELLER_NAME3 "Esstisch"
FURNITURE_JEWELLER_NAME "Juwelier"
FURNITURE_JEWELLER_POLISHING_WHEEL_NAME "Juwelier-Polierscheibe"
FURNITURE_JEWELLER_SECONDPERSON "Du isst ein dampfendes Schwein."
FURNITURE_JEWELLER_THIRDPERSON "{1} isst ein dampfendes Schwein."
FURNITURE_JEWELLER_USAGETYPE "Vom Esstisch essen"
FURNITURE_JEWELLERY_STORAGE_NAME "Schmucktruhe"
FURNITURE_KEEPER_BOARD_NAME "Schwarzes Brett"
FURNITURE_LABORATORY_NAME1 "Verzaubertes Labor"
FURNITURE_LABORATORY_NAME "Labor"
FURNITURE_WITCH_LAB_NAME "Kessel zum Kinderkochen"
FURNITURE_LOOT_COFFIN_NAME "Sarg"
FURNITURE_MAGMA_NAME "Magma"
FURNITURE_METEOR_SHOWER_NAME "Meteorschauer"
FURNITURE_MINION_STATUE_NAME "Goldstatue"
FURNITURE_MORGUE_INSTRUMENT_TABLE_NAME "Instrumententisch"
FURNITURE_MORGUE_TABLE_NAME "Leichentisch"
FURNITURE_MORTAR_AND_PESTLE_NAME "Mörser und Stößel"
FURNITURE_MOUNTAIN2_NAME1 "Adamanterz"
FURNITURE_MOUNTAIN2_NAME2 "Adoxiumerz"
FURNITURE_MOUNTAIN2_NAME3 "Inferniterz"
FURNITURE_MOUNTAIN2_NAME4 "Eisenerz"
FURNITURE_MOUNTAIN2_NAME5 "Granit"
FURNITURE_MOUNTAIN2_NAME6 "Golderz"
FURNITURE_MOUNTAIN2_NAME "Geschmolzenes Gestein"
FURNITURE_MOUNTAIN_NAME1 "Sandstein"
FURNITURE_MOUNTAIN_NAME2 "Gletscher"
FURNITURE_MOUNTAIN_NAME3 "Berg"
FURNITURE_MOUNTAIN_NAME4 "Mauer"
FURNITURE_MOUNTAIN_NAME5 "Hartes Gestein"
FURNITURE_MOUNTAIN_NAME "Weiches Gestein"
FURNITURE_MUD_NAME "Schlamm"
FURNITURE_MUD_WALL_NAME "Lehmwand"
FURNITURE_OPENED_CHEST_NAME "Geöffnete Truhe"
FURNITURE_PAINTING_N_NAME "Leinwandgemälde"
FURNITURE_PEW_WOOD_NAME1 "Eiserne Kirchenbank"
FURNITURE_PEW_WOOD_NAME2 "Goldene Kirchenbank"
FURNITURE_PEW_WOOD_NAME "Hölzerne Kirchenbank"
FURNITURE_PEW_WOOD_SECONDPERSON "Du schläfst auf der Bank ein."
FURNITURE_PEW_WOOD_THIRDPERSON "{1} schläft auf der Bank ein."
FURNITURE_PEW_WOOD_USAGETYPE "Auf der Bank sitzen"
FURNITURE_PHYLACTERY_NAME1 "Aktives Phylakterium"
FURNITURE_PHYLACTERY_NAME "Phylakterium"
FURNITURE_PHYLACTERY_USAGETYPE "Deine Seele in das Phylakterium übertragen"
FURNITURE_PIGSTY_NAME "Schweinestall"
FURNITURE_PIT_NAME "Grube"
FURNITURE_POETRY_TABLE_NAME "Skriptorium"
FURNITURE_POISON_GAS_TRAP_NAME "Giftgasfalle"
FURNITURE_PORTAL_NAME "Portal"
FURNITURE_PORTAL_STAIRS_NAME "Portal"
FURNITURE_PORTAL_STAIRS_USAGETYPE "Portal benutzen"
FURNITURE_POTION_STORAGE_NAME "Trankregal"
FURNITURE_PRAYER_BENCH_WOOD_NAME1 "Eiserne Gebetsbank"
FURNITURE_PRAYER_BENCH_WOOD_NAME2 "Goldene Gebetsbank"
FURNITURE_PRAYER_BENCH_WOOD_NAME "Hölzerne Gebetsbank"
FURNITURE_PRISON_BARS_NAME "Gefängnisgitter"
FURNITURE_PRISON_DOOR_NAME "Gefängnistür"
FURNITURE_PRISON_NAME "Gefängnisfeld"
FURNITURE_PRISON_USAGETYPE "Im Gefängnis schlafen"
FURNITURE_RED_SAND_NAME "Sand"
FURNITURE_REMAINS_TABLE_NAME "Podest"
FURNITURE_ROAD_NAME "Straße"
FURNITURE_ROOF_NAME "Dach"
FURNITURE_ROSTRUM_WOOD_NAME1 "Eisernes Podium"
FURNITURE_ROSTRUM_WOOD_NAME2 "Goldenes Podium"
FURNITURE_ROSTRUM_WOOD_NAME "Hölzernes Podium"
FURNITURE_ROSTRUM_WOOD_USAGETYPE "Eine Messe halten"
FURNITURE_RUIN_WALL_NAME "Mauer"
FURNITURE_SAND_NAME "Sand"
FURNITURE_SCARECROW_NAME "Vogelscheuche"
FURNITURE_SCRIPTORIUM_HOLY_TOKEN_NAME "Heiliges Zeichen"
FURNITURE_SCROLL_STORAGE_NAME "Schriftrollenregal"
FURNITURE_SNOWMAN_NAME "Schneemann"
FURNITURE_SNOW_NAME "Schnee"
FURNITURE_SOKOBAN_HOLE_NAME "Loch"
FURNITURE_SPIDER_WEB_NAME "Spinnennetz"
FURNITURE_STABLE_NAME "Stall"
FURNITURE_STABLE_USAGETYPE "Im Stall schlafen"
FURNITURE_STONE_MINION_STATUE_NAME "Steinstatue"
FURNITURE_STONES_NAME "Steine"
FURNITURE_SURPRISE_TRAP_NAME "Überraschungsfalle"
FURNITURE_SWAMPGRASS_NAME "Gras"
FURNITURE_TAR_NAME "Teer"
FURNITURE_TAR_SECONDPERSON1 "Der Teer verlangsamt dich!"
FURNITURE_TAR_SECONDPERSON "Du steckst im Teer fest!"
FURNITURE_TAR_THIRDPERSON1 "{1} wird durch Teer verlangsamt!"
FURNITURE_TAR_THIRDPERSON "{1} steckt im Teer fest!"
FURNITURE_TERMITE_MOUND_NAME "Termitenhügel"
FURNITURE_TERROR_TRAP_NAME "Panikfalle"
FURNITURE_THRONE_NAME1 "Zerbrochener Thron"
FURNITURE_THRONE_NAME "Thron"
FURNITURE_THRONE_SECONDPERSON "Du setzt dich auf den Thron."
FURNITURE_THRONE_THIRDPERSON "{1} setzt sich auf den Thron."
FURNITURE_THRONE_USAGETYPE "Sich auf den Thron setzen"
FURNITURE_CANDELABRUM_NAME "Kronleuchter"
FURNITURE_TORCH_NAME "Fackel"
FURNITURE_TORTURE_TABLE_NAME "Foltertisch"
FURNITURE_TRAINING_ADA_NAME "Adamanttrainingspuppe"
FURNITURE_TRAINING_IRON_NAME "Eisentrainingspuppe"
FURNITURE_TRAINING_WOOD_NAME "Holztrainingspuppe"
FURNITURE_TRAP_TRIGGER_NAME "Fallenauslöser"
FURNITURE_TREASURE_CHEST_NAME "Schatztruhe"
FURNITURE_TREE_TRUNK_NAME "Baumstamm"
FURNITURE_TUTORIAL_ENTRANCE_NAME "Tutorial-Eingang"
FURNITURE_UP_STAIRS_NAME "Treppe nach oben"
FURNITURE_DOWN_STAIRS_NAME "Treppe nach unten"
FURNITURE_UP_STAIRS_USAGETYPE "Treppe benutzen"
FURNITURE_WATER_NAME1 "Verzauberter Teich"
FURNITURE_WATER_NAME2 "Flaches Wasser"
FURNITURE_WATER_NAME "Wasser"
FURNITURE_WEAPON_RACK_NAME1 "Bogenständer"
FURNITURE_WEAPON_RACK_NAME "Waffenständer"
FURNITURE_WEB_TRAP_NAME "Spinnennetzfalle"
FURNITURE_WELL_NAME "Brunnen"
FURNITURE_WHIPPING_POST_NAME "Pranger"
FURNITURE_WOOD_DOOR_NAME "Holztür"
FURNITURE_WOOD_GATE_NAME "Holztor"
FURNITURE_WOOD_PILLAR_NAME1 "Holzwand"
FURNITURE_WOOD_PILLAR_NAME "Holzpfeiler"
FURNITURE_WORKSHOP_NAME1 "Verzauberte Werkstatt"
FURNITURE_WORKSHOP_NAME "Werkstatt"
FURNITURE_WORKSHOP_TOOL_STAND_NAME "Werkzeugständer"

ITEM_LISTS_BLACKMARKETCRAFTING_TYPE1 "Enthält Geheimnisse des legendären Schmiedewissens"
ITEM_LISTS_BLACKMARKETCRAFTING_TYPE "Schmiedemeisterschaft"
ITEM_LISTS_BLACKMARKETSCROLLS_TYPE1 "Erzeugt eine große Nebelwolke"
ITEM_LISTS_BLACKMARKETSCROLLS_TYPE "Großer Nebel"

ITEMS_ADAARMOR_NAME1 "Adoxiumrüstung"
ITEMS_ADAARMOR_NAME "Adamantrüstung"
ITEMS_ADAARMOR_SHORTNAME "Rüstung"
ITEMS_ADABATTLEAXE_NAME "Infernitstreitaxt"
ITEMS_ADABATTLEAXE_SHORTNAME "Infernit"
ITEMS_ADABOOTS_NAME1 "Paar Adoxiumstiefel"
    "Paare Adoxiumstiefel" : plural
ITEMS_ADABOOTS_NAME "Paar Adamantstiefel"
    "Paare Adamantstiefel" : plural
ITEMS_ADABOOTS_SHORTNAME "Stiefel"
ITEMS_ADAGLOVES_NAME1 "Paar Adoxiumhandschuhe"
    "Paare Adoxiumhandschuhe" : plural
ITEMS_ADAGLOVES_NAME "Paar Adamanthandschuhe"
    "Paare Adamanthandschuhe" : plural
ITEMS_ADAGLOVES_SHORTNAME "Handschuhe"
ITEMS_ADAHELM_NAME1 "Adoxiumhelm"
ITEMS_ADAHELM_NAME "Adamanthelm"
ITEMS_ADAHELM_SHORTNAME "Helm"
ITEMS_ADAORE_NAME "Adamanterz"
ITEMS_ADASHIELD_NAME "Adamantschild"
ITEMS_ADASHIELD_SHORTNAME "Adamant"
ITEMS_ADASWORD_NAME "Infernitschwert"
ITEMS_ADASWORD_SHORTNAME


ITEMS_BOW_NAME1 "Silberner Elfenbogen"
ITEMS_BOW_NAME2 "Archwood-Bogen"
ITEMS_BOW_NAME "Kurzbogen"
ITEMS_CHAINARMOR_NAME "Kettenpanzer"
ITEMS_CHAINARMOR_SHORTNAME "Rüstung"
ITEMS_CLUB_NAME "Keule"
ITEMS_CORNUTHAUM1_EQUIPWARNING "Cornuthaume sind nur für Zauberwirker nützlich. Fortfahren?"
ITEMS_CORNUTHAUM1_NAME1 "Verzierter Cornuthaum"
ITEMS_CORNUTHAUM1_NAME2 "Prächtiger Cornuthaum"
ITEMS_CORNUTHAUM1_NAME "Cornuthaum"
ITEMS_CROSSBOW_NAME1 "Archwood-Armbrust"
ITEMS_CROSSBOW_NAME "Armbrust"
ITEMS_CYCLOPSBRAIN_NAME "Zyklopenhirn"
ITEMS_CYCLOPSSCROLL_EFFECT "?"
ITEMS_CYCLOPSSCROLL_NAME "Seltsame Schriftrolle"
ITEMS_CYCLOPSTESTICLES_NAME "Zyklopenhoden"
ITEMS_CYCLOPSTESTICLES_SHORTNAME "Zyklop"
ITEMS_DEFENSEAMULET_DESCRIPTION "Erhöht die Widerstandsfähigkeit deiner Haut und deines Fleisches, macht dich schwerer verwundbar."
ITEMS_DEFENSEAMULET_NAME "Amulett der Verteidigung"
    "Amulette der Verteidigung" : plural
ITEMS_DEFENSEAMULET_SHORTNAME "Verteidigung"
ITEMS_DEVILBOOTS_NAME "Paar Teufelsstiefel"
    "Paare Teufelsstiefel" : plural
ITEMS_DEVILBOOTS_SHORTNAME "Teufel"
ITEMS_DEVILHOOVES_NAME "Teufelshufe"
ITEMS_DEVILHORNS_NAME "Teufelshörner"
ITEMS_DEVOTIONALMEDAL_DESCRIPTION "Stellt ein bedeutendes religiöses Ereignis dar."
ITEMS_DEVOTIONALMEDAL_NAME "Andachtsmedaille"
ITEMS_DIVINITYAMULET_DESCRIPTION "Macht den Träger heiliger und göttlicher."
ITEMS_DIVINITYAMULET_NAME "Kruzifix-Halskette"
ITEMS_DIVINITYAMULET_SHORTNAME "Kruzifix"
ITEMS_ELVENSWORD_NAME "Elfenschwert"
ITEMS_FIRSTAIDKIT_DESCRIPTION "Heilt deine Wunden, benötigt aber einige Züge zur Anwendung."
ITEMS_FIRSTAIDKIT_NAME "Erste-Hilfe-Set"
ITEMS_GOLDPIECE_NAME "Goldmünze"
ITEMS_GREENDRAGONSCALES_NAME "Schuppen des Grünen Drachen"
ITEMS_HALLOWEENCOSTUME_NAME "Halloweenkostüm"
ITEMS_HALLOWEENCOSTUME_SHORTNAME "Halloweenkostüm"
ITEMS_HEAVYCLUB_NAME "Schwere Keule"
ITEMS_HYDRATONGUE_NAME "Hydrenzunge"
ITEMS_INFERNITEORE_NAME "Inferniterz"
ITEMS_INFERNITETRIDENT_NAME "Infernit-Dreizack"
ITEMS_INFERNITETRIDENT_SHORTNAME "Infernit"
ITEMS_INVISIBILITYRING_NAME "Goldring"
ITEMS_IRONBOOTS_NAME "Paar Eisenstiefel"
    "Paare Eisenstiefel" : plural
ITEMS_IRONBOOTS_SHORTNAME "Stiefel"
ITEMS_IRONCROZIER_NAME "Eiserner Krummstab"
ITEMS_IRONGLOVES_NAME "Paar Eisenhandschuhe"
    "Paare Eisenhandschuhe" : plural
ITEMS_IRONGLOVES_SHORTNAME "Handschuhe"
ITEMS_IRONHELM_NAME "Eisenhelm"
ITEMS_IRONHELM_SHORTNAME "Helm"
ITEMS_IRONORE_NAME "Eisenerz"
ITEMS_IRONSHIELD_NAME "Eisenschild"
ITEMS_IRONSHIELD_SHORTNAME "Eisen"
ITEMS_JUMPRING_NAME "Sprungring"
ITEMS_JUMPRING_SHORTNAME "Sprung"
ITEMS_KABOOMHEAD_ID "Selbstzerstörung"
ITEMS_KABOOMHEAD_NAME "Kaboom-Kopf"
ITEMS_KABOOMHEAD_PREFIX1 "Explodiert, zerstört den ausgerüsteten Automaten und tötet das Ziel. Reizt Feinde."
ITEMS_KABOOMHEAD_PREFIX "Kaboom-Kopf"
ITEMS_KABOOMHEAD_SHORTNAME "Kaboom-Kopf"
ITEMS_KNIFE_NAME1 "Attentäter-Messer"
    "Attentäter-Messer" : plural
ITEMS_KNIFE_NAME "Messer"
    "Messer" : plural
ITEMS_LEATHERARMOR_NAME1 "Rüstung aus Rotdrachen-Schuppen"
ITEMS_LEATHERARMOR_NAME2 "Rüstung aus Schwarzdrachen-Schuppen"
ITEMS_LEATHERARMOR_NAME3 "Rüstung aus Weißdrachen-Schuppen"
ITEMS_LEATHERARMOR_NAME4 "Rüstung aus Gelbdrachen-Schuppen"
ITEMS_LEATHERARMOR_NAME5 "Rüstung aus Grün-drachen-Schuppen"
ITEMS_LEATHERARMOR_NAME "Lederrüstung"
ITEMS_LEATHERARMOR_SHORTNAME1 "Roter Drache"
ITEMS_LEATHERARMOR_SHORTNAME2 "Schwarzer Drache"
ITEMS_LEATHERARMOR_SHORTNAME3 "Weißer Drache"
ITEMS_LEATHERARMOR_SHORTNAME4 "Gelber Drache"
ITEMS_LEATHERARMOR_SHORTNAME5 "Grüner Drache"
ITEMS_LEATHERARMOR_SHORTNAME "Rüstung"
ITEMS_LEATHERBOOTS_NAME "Paar Lederstiefel"
    "Paare Lederstiefel" : plural
ITEMS_LEATHERBOOTS_SHORTNAME "Stiefel"
ITEMS_LEATHERGLOVES_NAME "Paar Lederhandschuhe"
    "Paare Lederhandschuhe" : plural
ITEMS_LEATHERGLOVES_SHORTNAME "Handschuhe"
ITEMS_LEATHERHELM_NAME1 "Zyklopenhoden-Helm"
ITEMS_LEATHERHELM_NAME "Lederhelm"
ITEMS_LEATHERHELM_SHORTNAME1 "Zyklop"
ITEMS_LEATHERHELM_SHORTNAME "Helm"
ITEMS_MAGICLAMP_APPLYMSGFIRSTPERSON "Reibe die Lampe"
ITEMS_MAGICLAMP_APPLYMSGTHIRDPERSON "reibt die Lampe"
ITEMS_MAGICLAMP_DESCRIPTION "Nur eine Öllampe"
ITEMS_MAGICLAMP_NAME "Öllampe"
ITEMS_MAGICEGG1_NAME "Feuerschleim-Ei"
ITEMS_MOONSHINE_BLINDNAME "Trank"
ITEMS_MOONSHINE_EFFECT "Erhöht die Moral, macht Untergebene aber betrunken"
ITEMS_MOONSHINE_NAME "Mondschein-Trank"
    "Mondschein-Tränke" : plural
ITEMS_MOONSHINE_SHORTNAME "Mondschein"
ITEMS_PRAYERBOOKPROTECTION_BLINDNAME "Buch"
ITEMS_PRAYERBOOKPROTECTION_DESCRIPTION "Enthält Gebete zum Vortrag während der Messe."
ITEMS_PRAYERBOOKPROTECTION_EFFECT "Keiner"
ITEMS_PRAYERBOOKPROTECTION_NAME10 "Liturgisches Buch für bewaffnete Hilfe"
ITEMS_PRAYERBOOKPROTECTION_NAME11 "Liturgisches Buch zur Anwerbung von Arbeitskräften"
ITEMS_PRAYERBOOKPROTECTION_NAME12 "Liturgisches Buch für Nahkampf-Trainingspotential"
ITEMS_PRAYERBOOKPROTECTION_NAME13 "Liturgisches Buch für göttliches Trainingspotential"
ITEMS_PRAYERBOOKPROTECTION_NAME14 "Liturgisches Buch für einen Schutzengel"
ITEMS_PRAYERBOOKPROTECTION_NAME15 "Liturgisches Buch des Bösen Gottes Adoxie"
ITEMS_PRAYERBOOKPROTECTION_NAME1 "Liturgisches Buch für Stärke"
ITEMS_PRAYERBOOKPROTECTION_NAME2 "Liturgisches Buch für Schutz vor Pfeilen"
ITEMS_PRAYERBOOKPROTECTION_NAME3 "Liturgisches Buch zum Graben"
ITEMS_PRAYERBOOKPROTECTION_NAME4 "Liturgisches Buch für schnelles Training"
ITEMS_PRAYERBOOKPROTECTION_NAME5 "Liturgisches Buch für schnelles Handwerk"
ITEMS_PRAYERBOOKPROTECTION_NAME6 "Liturgisches Buch für Feuerschutz"
ITEMS_PRAYERBOOKPROTECTION_NAME7 "Liturgisches Buch für Giftschutz"
ITEMS_PRAYERBOOKPROTECTION_NAME8 "Liturgisches Buch zur Wundregeneration"
ITEMS_PRAYERBOOKPROTECTION_NAME9 "Liturgisches Buch für stärkere bewaffnete Hilfe"
ITEMS_PRAYERBOOKPROTECTION_NAME "Liturgisches Buch für Schutz"
ITEMS_PRAYERBOOKPROTECTION_SHORTNAME10 "Bewaffnete Hilfe"
ITEMS_PRAYERBOOKPROTECTION_SHORTNAME11 "Arbeitskräfte"
ITEMS_PRAYERBOOKPROTECTION_SHORTNAME12 "Nahkampftraining"
ITEMS_PRAYERBOOKPROTECTION_SHORTNAME13 "Göttliches Training"
ITEMS_PRAYERBOOKPROTECTION_SHORTNAME14 "Schutzengel"
ITEMS_PRAYERBOOKPROTECTION_SHORTNAME15 "Adoxie"
ITEMS_PRAYERBOOKPROTECTION_SHORTNAME1 "Stärke"
ITEMS_PRAYERBOOKPROTECTION_SHORTNAME2 "Pfeilschutz"
ITEMS_PRAYERBOOKPROTECTION_SHORTNAME3 "Graben"
ITEMS_PRAYERBOOKPROTECTION_SHORTNAME4 "Schnelles Training"
ITEMS_PRAYERBOOKPROTECTION_SHORTNAME5 "Schnelles Handwerk"
ITEMS_PRAYERBOOKPROTECTION_SHORTNAME6 "Feuerschutz"
ITEMS_PRAYERBOOKPROTECTION_SHORTNAME7 "Giftschutz"
ITEMS_PRAYERBOOKPROTECTION_SHORTNAME8 "Regeneration"
ITEMS_PRAYERBOOKPROTECTION_SHORTNAME9 "Starke bewaffnete Hilfe"
ITEMS_PRAYERBOOKPROTECTION_SHORTNAME "Schutz"
ITEMS_PROPHETREMAINS_NAME "Mumienüberreste des alten Propheten Ynnuf Yrewosbe"
ITEMS_PROPHETREMAINS_SHORTNAME "Prophet Ynnuf Yrewosbe"
ITEMS_PROPHETSOUP_BLINDNAME "Suppe"
ITEMS_PROPHETSOUP_EFFECT1 "Erhöht die Kampferfahrung der Kreatur"
ITEMS_PROPHETSOUP_EFFECT "Erhöht die Erfahrung"
ITEMS_PROPHETSOUP_NAME "Suppe aus mumifizierten Prophetenüberresten"
    "Suppen" : plural
ITEMS_PROPHETSOUP_SECONDPERSON "Du hast starke Magenkrämpfe"
ITEMS_PROPHETSOUP_SHORTNAME "Propheten-Suppe"
ITEMS_PROPHETSOUP_THIRDPERSON "{1} hat starke Magenkrämpfe."
ITEMS_REDDRAGONSCALES_NAME "Schuppen des Roten Drachen"
ITEMS_ROBE_NAME "Robe"
ITEMS_ROCK_NAME "Stein"
ITEMS_ROSARYRING_DESCRIPTION "Erhöht die Fähigkeit des Trägers, Gebete zu sprechen."
ITEMS_ROSARYRING_NAME "Rosenkranz-Ring"
ITEMS_ROSARYRING_SHORTNAME "Rosenkranz"
ITEMS_SCEPTRE_NAME "Zepter"
ITEMS_SKELETON_NAME1 "Gefrorene Überreste"
ITEMS_SKELETON_NAME "Skelett"
ITEMS_SPEAR_NAME "Speer"
ITEMS_SWORD_NAME1 "Adamantschwert"
ITEMS_SWORD_NAME "Schwert"
ITEMS_SWORD_SHORTNAME "Adamant"
ITEMS_TORCH_NAME "Handfackel"
    "Handfackeln" : plural
ITEMS_UNICORNHORN_NAME "Einhornhorn"
ITEMS_WARHAMMER_NAME1 "Adamant-Kriegshammer"
ITEMS_WARHAMMER_NAME "Kriegshammer"
ITEMS_WHITEDRAGONSCALES_NAME "Schuppen des Weißen Drachen"
ITEMS_WOODENCROZIER_NAME "Hölzerner Krummstab"
ITEMS_WOODENSHIELD_NAME "Holzschild"
ITEMS_WOODENSHIELD_SHORTNAME "Holz"
ITEMS_WOODENSTAFF_NAME1 "Archwood-Stab"
ITEMS_WOODENSTAFF_NAME2 "Elfenstab"
ITEMS_WOODENSTAFF_NAME "Holzstab"
ITEMS_WOODPLANK_NAME "Holzbrett"
ITEMS_YELLOWDRAGONSCALES_NAME "Schuppen des Gelben Drachen"
ITEMS_ZOMBIEBRAIN_NAME "Zombiehirn"
ITEMS_ZOMBIESCROLL_EFFECT "?"
ITEMS_ZOMBIESCROLL_NAME "Verrottete Schriftrolle"

KEEPER_CREATURES_BASENAME1 "Burg"
KEEPER_CREATURES_BASENAME2 "Verderbte Kirche"
KEEPER_CREATURES_BASENAME3 "Untote"
KEEPER_CREATURES_BASENAME4 "Automaten"
KEEPER_CREATURES_BASENAME5 "Kolonie"
KEEPER_CREATURES_BASENAME6 "Grünhäute"
KEEPER_CREATURES_BASENAME7 "Zombies"
KEEPER_CREATURES_BASENAME8 "Einsiedler"
KEEPER_CREATURES_BASENAME9 "Abenteurer"
KEEPER_CREATURES_BASENAME10 "Hexe"
KEEPER_CREATURES_BASENAME "Klassisch"

PROMOTIONS_ID10 "Erhöht das Zauberschadenstraining um 1."
PROMOTIONS_ID11 "Kavallerie"
PROMOTION_KNIGHT_MESSAGE "{1} wird zum Ritter befördert."
PROMOTIONS_ID12 "Befördert zum Ritter."
PROMOTIONS_ID1 "Bogenschütze"
PROMOTION_DWARF_RANGED_MESSAGE "{1} steigt im Rang eines Fernkämpfers auf."
PROMOTIONS_ID2 "Erhöht das maximale Trainingsniveau für Bogenschießen um 3, fügt bei erster Anwendung 14 Fernkampfschaden hinzu."
PROMOTIONS_ID3 "Zauberwirker"
PROMOTION_DWARF_SPELL_MESSAGE "{1} steigt im Rang eines Zauberwirkers auf."
PROMOTIONS_ID4 "Erhöht das maximale Zaubertrainingsniveau um 3, fügt bei erster Anwendung 14 Zauberschaden hinzu."
PROMOTIONS_ID5 "Handwerker"
PROMOTION_DWARF_FORGE_MESSAGE "{1} steigt im Rang eines Handwerkers auf."
PROMOTIONS_ID6 "Erhöht die Handwerksattribute für alle Werkstätten um 8"
PROMOTIONS_ID7 "Nahkämpfer"
PROMOTIONS_ID8 "Erhöht das Schadenstraining um 1."
PROMOTIONS_ID9 "Erhöht das Fernkampfschadenstraining um 1."
PROMOTIONS_ID "Erhöht das maximale Nahkampftrainingsniveau um 3."
PROMOTIONS "Nahkämpfer"
PROMOTION_DWARF_MELEE_MESSAGE "{1} steigt im Rang eines Nahkämpfers auf."
RESOURCE_INFO_ADA_NAME "Adamant"
RESOURCE_INFO_ADOXIUM_NAME "Adoxium"
RESOURCE_INFO_CORPSE_NAME "Leichname"
RESOURCE_INFO_DEMON_PIETY_NAME "Rituale"
RESOURCE_INFO_COOKED_CHILDREN_NAME "Gekochte Kinder"
A_CHILD_IS_COOKED "Ein Kind fällt in einen Kessel!"
RESOURCE_INFO_INFERNITE_NAME "Infernit"
RESOURCE_INFO_IRON_NAME "Eisen"
RESOURCE_INFO_PRISONER_HEAD_NAME "Gefangenenköpfe"
RESOURCE_INFO_STONE_NAME "Granit"
RESOURCE_INFO_WOOD_NAME "Holz"
RESOURCE_INFO_GOLD_NAME "Gold"

SPELLS_ACID_STREAM_EFFECT "Säurestrahl"
SPELLS_ACID_STREAM_MESSAGE1 "{1} spuckt Säure!"
SPELLS_ACID_STREAM_MESSAGE "Du spuckst Säure!"
SPELLS_ADOXIE_LEFT_FOOT_EFFECT "Linker Fuß von Adoxie"
